index,suite,case,relative_input,source,algorithm,status,reason,wall_seconds,worker_seconds,exit_code,solver_status,placement_optimal,ilp_runtime_seconds,drc_passed,violation_count,control_required,control_passed,is_placed_and_routed,total_channel_manhattan_length,physical_area,padded_area,output_json,metrics_json,log,artifact_dir
211,mint,mint__CIDAR_Lab_Past_Devices__Incubator__Incubator_fromMINT,CIDAR_Lab_Past_Devices/Incubator/Incubator_fromMINT.json,/home/student/Desktop/Neptune_2026/Microfluidics-Benchmarks/Results/MINT_TestCases/CIDAR_Lab_Past_Devices/Incubator/Incubator_fromMINT.json,tree,fail,"ValueError: Invalid layer-1 topology: sink endpoint component 'valve_0', port '1' is driven by multiple source components; connection ids=['Ctrlchannel_0', 'Ctrlchannel_1', 'Ctrlchannel_2', 'Ctrlchannel_3', 'Ctrlchannel_4', 'Ctrlchannel_5', 'Ctrlchannel_6', 'Ctrlchannel_7', 'Ctrlchannel_8', 'Ctrlchannel_9', 'Ctrlchannel_10', 'Ctrlchannel_11', 'Ctrlchannel_12', 'Ctrlchannel_13', 'Ctrlchannel_14', 'Ctrlchannel_15', 'Ctrlchannel_16']; source ids=['Cport_0', 'Cport_1', 'Cport_2', 'Cport_3', 'Cport_4', 'Cport_5', 'Cport_6', 'Cport_7', 'Cport_8', 'Cport_9', 'Cport_10', 'Cport_11', 'Cport_12', 'Cport_13', 'Cport_14', 'Cport_15', 'Cport_16']",0.519,0.348247,1,,,,,,,,,,,,,,Microfluidics-Benchmarks/Results/tree_full_20260918_081830/logs/mint__CIDAR_Lab_Past_Devices__Incubator__Incubator_fromMINT.log,Microfluidics-Benchmarks/Results/tree_full_20260918_081830/artifacts/mint__CIDAR_Lab_Past_Devices__Incubator__Incubator_fromMINT
212,mint,mint__CIDAR_Lab_Past_Devices__Inlet_16__Inlet_16_fromMINT,CIDAR_Lab_Past_Devices/Inlet_16/Inlet_16_fromMINT.json,/home/student/Desktop/Neptune_2026/Microfluidics-Benchmarks/Results/MINT_TestCases/CIDAR_Lab_Past_Devices/Inlet_16/Inlet_16_fromMINT.json,tree,fail,"ValueError: Invalid layer-1 topology: sink endpoint component 'valve_0', port '1' is driven by multiple source components; connection ids=['Ctrlchannel_0', 'Ctrlchannel_1', 'Ctrlchannel_2', 'Ctrlchannel_3', 'Ctrlchannel_4', 'Ctrlchannel_5', 'Ctrlchannel_6']; source ids=['Cport_0', 'Cport_1', 'Cport_2', 'Cport_3', 'Cport_4', 'Cport_5', 'Cport_6']",0.518,0.346652,1,,,,,,,,,,,,,,Microfluidics-Benchmarks/Results/tree_full_20260918_081830/logs/mint__CIDAR_Lab_Past_Devices__Inlet_16__Inlet_16_fromMINT.log,Microfluidics-Benchmarks/Results/tree_full_20260918_081830/artifacts/mint__CIDAR_Lab_Past_Devices__Inlet_16__Inlet_16_fromMINT
213,mint,mint__CIDAR_Lab_Past_Devices__Kinetics__Kinetics_fromMINT,CIDAR_Lab_Past_Devices/Kinetics/Kinetics_fromMINT.json,/home/student/Desktop/Neptune_2026/Microfluidics-Benchmarks/Results/MINT_TestCases/CIDAR_Lab_Past_Devices/Kinetics/Kinetics_fromMINT.json,tree,success,,0.969,0.733423,0,,,,,,,,True,,,,/home/student/Desktop/Neptune_2026/Microfluidics-Benchmarks/Results/tree_full_20260918_081830/artifacts/mint__CIDAR_Lab_Past_Devices__Kinetics__Kinetics_fromMINT/result.json,,Microfluidics-Benchmarks/Results/tree_full_20260918_081830/logs/mint__CIDAR_Lab_Past_Devices__Kinetics__Kinetics_fromMINT.log,Microfluidics-Benchmarks/Results/tree_full_20260918_081830/artifacts/mint__CIDAR_Lab_Past_Devices__Kinetics__Kinetics_fromMINT
214,mint,mint__CIDAR_Lab_Past_Devices__Logic_04__Logic_04_fromMINT,CIDAR_Lab_Past_Devices/Logic_04/Logic_04_fromMINT.json,/home/student/Desktop/Neptune_2026/Microfluidics-Benchmarks/Results/MINT_TestCases/CIDAR_Lab_Past_Devices/Logic_04/Logic_04_fromMINT.json,tree,fail,"ValueError: Invalid layer-1 topology: sink endpoint component 'valve_0', port '1' is driven by multiple source components; connection ids=['Ctrlchannel_0', 'Ctrlchannel_1', 'Ctrlchannel_2', 'Ctrlchannel_3', 'Ctrlchannel_4', 'Ctrlchannel_5', 'Ctrlchannel_6', 'Ctrlchannel_7']; source ids=['Cport_0', 'Cport_1', 'Cport_2', 'Cport_3', 'Cport_4', 'Cport_5', 'Cport_6', 'Cport_7']",0.518,0.344335,1,,,,,,,,,,,,,,Microfluidics-Benchmarks/Results/tree_full_20260918_081830/logs/mint__CIDAR_Lab_Past_Devices__Logic_04__Logic_04_fromMINT.log,Microfluidics-Benchmarks/Results/tree_full_20260918_081830/artifacts/mint__CIDAR_Lab_Past_Devices__Logic_04__Logic_04_fromMINT
215,mint,mint__CIDAR_Lab_Past_Devices__Mfd_005_Chip__Mfd_005_Chip_fromMINT,CIDAR_Lab_Past_Devices/Mfd_005_Chip/Mfd_005_Chip_fromMINT.json,/home/student/Desktop/Neptune_2026/Microfluidics-Benchmarks/Results/MINT_TestCases/CIDAR_Lab_Past_Devices/Mfd_005_Chip/Mfd_005_Chip_fromMINT.json,tree,success,,1.07,0.875303,0,,,,,,,,True,,,,/home/student/Desktop/Neptune_2026/Microfluidics-Benchmarks/Results/tree_full_20260918_081830/artifacts/mint__CIDAR_Lab_Past_Devices__Mfd_005_Chip__Mfd_005_Chip_fromMINT/result.json,,Microfluidics-Benchmarks/Results/tree_full_20260918_081830/logs/mint__CIDAR_Lab_Past_Devices__Mfd_005_Chip__Mfd_005_Chip_fromMINT.log,Microfluidics-Benchmarks/Results/tree_full_20260918_081830/artifacts/mint__CIDAR_Lab_Past_Devices__Mfd_005_Chip__Mfd_005_Chip_fromMINT
216,mint,mint__CIDAR_Lab_Past_Devices__Microalgal_Bioassay__Microalgal_Bioassay_fromMINT,CIDAR_Lab_Past_Devices/Microalgal_Bioassay/Microalgal_Bioassay_fromMINT.json,/home/student/Desktop/Neptune_2026/Microfluidics-Benchmarks/Results/MINT_TestCases/CIDAR_Lab_Past_Devices/Microalgal_Bioassay/Microalgal_Bioassay_fromMINT.json,tree,success,,1.119,0.885638,0,,,,,,,,True,,,,/home/student/Desktop/Neptune_2026/Microfluidics-Benchmarks/Results/tree_full_20260918_081830/artifacts/mint__CIDAR_Lab_Past_Devices__Microalgal_Bioassay__Microalgal_Bioassay_fromMINT/result.json,,Microfluidics-Benchmarks/Results/tree_full_20260918_081830/logs/mint__CIDAR_Lab_Past_Devices__Microalgal_Bioassay__Microalgal_Bioassay_fromMINT.log,Microfluidics-Benchmarks/Results/tree_full_20260918_081830/artifacts/mint__CIDAR_Lab_Past_Devices__Microalgal_Bioassay__Microalgal_Bioassay_fromMINT
217,mint,mint__CIDAR_Lab_Past_Devices__Microdroplet__Microdroplet_fromMINT,CIDAR_Lab_Past_Devices/Microdroplet/Microdroplet_fromMINT.json,/home/student/Desktop/Neptune_2026/Microfluidics-Benchmarks/Results/MINT_TestCases/CIDAR_Lab_Past_Devices/Microdroplet/Microdroplet_fromMINT.json,tree,fail,"ValueError: Invalid layer-1 topology: sink endpoint component 'valve_0', port '1' is driven by multiple source components; connection ids=['Ctrlchannel_0', 'Ctrlchannel_1', 'Ctrlchannel_2', 'Ctrlchannel_3', 'Ctrlchannel_4', 'Ctrlchannel_5', 'Ctrlchannel_6', 'Ctrlchannel_7', 'Ctrlchannel_8']; source ids=['Cport_0', 'Cport_1', 'Cport_2', 'Cport_3', 'Cport_4', 'Cport_5', 'Cport_6', 'Cport_7', 'Cport_8']",0.518,0.355099,1,,,,,,,,,,,,,,Microfluidics-Benchmarks/Results/tree_full_20260918_081830/logs/mint__CIDAR_Lab_Past_Devices__Microdroplet__Microdroplet_fromMINT.log,Microfluidics-Benchmarks/Results/tree_full_20260918_081830/artifacts/mint__CIDAR_Lab_Past_Devices__Microdroplet__Microdroplet_fromMINT
218,mint,mint__CIDAR_Lab_Past_Devices__Microreactor__Microreactor_fromMINT,CIDAR_Lab_Past_Devices/Microreactor/Microreactor_fromMINT.json,/home/student/Desktop/Neptune_2026/Microfluidics-Benchmarks/Results/MINT_TestCases/CIDAR_Lab_Past_Devices/Microreactor/Microreactor_fromMINT.json,tree,fail,"ValueError: Invalid layer-1 topology: sink endpoint component 'valve_0', port '1' is driven by multiple source components; connection ids=['Ctrlchannel_0', 'Ctrlchannel_1', 'Ctrlchannel_2', 'Ctrlchannel_3', 'Ctrlchannel_4', 'Ctrlchannel_5', 'Ctrlchannel_6', 'Ctrlchannel_7', 'Ctrlchannel_8', 'Ctrlchannel_9']; source ids=['Cport_0', 'Cport_1', 'Cport_2', 'Cport_3', 'Cport_4', 'Cport_5', 'Cport_6', 'Cport_7', 'Cport_8', 'Cport_9']",0.569,0.352282,1,,,,,,,,,,,,,,Microfluidics-Benchmarks/Results/tree_full_20260918_081830/logs/mint__CIDAR_Lab_Past_Devices__Microreactor__Microreactor_fromMINT.log,Microfluidics-Benchmarks/Results/tree_full_20260918_081830/artifacts/mint__CIDAR_Lab_Past_Devices__Microreactor__Microreactor_fromMINT
219,mint,mint__CIDAR_Lab_Past_Devices__Mix_Incubate_Express__Mix_Incubate_Express_fromMINT,CIDAR_Lab_Past_Devices/Mix_Incubate_Express/Mix_Incubate_Express_fromMINT.json,/home/student/Desktop/Neptune_2026/Microfluidics-Benchmarks/Results/MINT_TestCases/CIDAR_Lab_Past_Devices/Mix_Incubate_Express/Mix_Incubate_Express_fromMINT.json,tree,success,,0.969,0.755862,0,,,,,,,,True,,,,/home/student/Desktop/Neptune_2026/Microfluidics-Benchmarks/Results/tree_full_20260918_081830/artifacts/mint__CIDAR_Lab_Past_Devices__Mix_Incubate_Express__Mix_Incubate_Express_fromMINT/result.json,,Microfluidics-Benchmarks/Results/tree_full_20260918_081830/logs/mint__CIDAR_Lab_Past_Devices__Mix_Incubate_Express__Mix_Incubate_Express_fromMINT.log,Microfluidics-Benchmarks/Results/tree_full_20260918_081830/artifacts/mint__CIDAR_Lab_Past_Devices__Mix_Incubate_Express__Mix_Incubate_Express_fromMINT
220,mint,mint__CIDAR_Lab_Past_Devices__Mixer_Trap_Simple__Mixer_Trap_Simple_fromMINT,CIDAR_Lab_Past_Devices/Mixer_Trap_Simple/Mixer_Trap_Simple_fromMINT.json,/home/student/Desktop/Neptune_2026/Microfluidics-Benchmarks/Results/MINT_TestCases/CIDAR_Lab_Past_Devices/Mixer_Trap_Simple/Mixer_Trap_Simple_fromMINT.json,tree,success,,0.919,0.705239,0,,,,,,,,True,,,,/home/student/Desktop/Neptune_2026/Microfluidics-Benchmarks/Results/tree_full_20260918_081830/artifacts/mint__CIDAR_Lab_Past_Devices__Mixer_Trap_Simple__Mixer_Trap_Simple_fromMINT/result.json,,Microfluidics-Benchmarks/Results/tree_full_20260918_081830/logs/mint__CIDAR_Lab_Past_Devices__Mixer_Trap_Simple__Mixer_Trap_Simple_fromMINT.log,Microfluidics-Benchmarks/Results/tree_full_20260918_081830/artifacts/mint__CIDAR_Lab_Past_Devices__Mixer_Trap_Simple__Mixer_Trap_Simple_fromMINT
